title,score,episode,aired,user
Evangelion: 2.0 You Can (Not) Advance,8.30,Movie (1 eps),Jul 2009 - Jul 2009,"521,924 members"
Hibike! Euphonium 2,8.30,TV (13 eps),Oct 2016 - Dec 2016,"218,687 members"
Ashita no Joe,8.29,TV (79 eps),Apr 1970 - Sep 1971,"86,623 members"
Beck,8.29,TV (26 eps),Oct 2004 - Mar 2005,"329,477 members"
Doukyuusei (Movie),8.29,Movie (1 eps),Feb 2016 - Feb 2016,"258,528 members"
Dr. Stone,8.29,TV (24 eps),Jul 2019 - Dec 2019,"1,650,202 members"
Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,8.29,Movie (12 eps),Mar 2022 - May 2022,"19,155 members"
Gintama: Shinyaku Benizakura-hen,8.29,Special (1 eps),Dec 2010 - Dec 2010,"42,465 members"
Hotarubi no Mori e,8.29,Movie (1 eps),Sep 2011 - Sep 2011,"797,186 members"
Kino no Tabi: The Beautiful World,8.29,TV (13 eps),Apr 2003 - Jul 2003,"301,701 members"
Kobayashi-san Chi no Maid Dragon S,8.29,TV (12 eps),Jul 2021 - Sep 2021,"526,431 members"
Major: World Series,8.29,OVA (2 eps),Dec 2011 - Jan 2012,"35,789 members"
Rurouni Kenshin: Meiji Kenkaku Romantan,8.29,TV (94 eps),Jan 1996 - Sep 1998,"481,603 members"
Steins;Gate: Oukoubakko no Poriomania,8.29,Special (1 eps),Feb 2012 - Feb 2012,"426,210 members"
Tenki no Ko,8.29,Movie (1 eps),Jul 2019 - Jul 2019,"941,552 members"
86,8.28,TV (11 eps),Apr 2021 - Jun 2021,"701,871 members"
Boku no Kokoro no Yabai Yatsu,8.28,TV (12 eps),Apr 2023 - Jun 2023,"185,820 members"
Fate/Zero,8.28,TV (13 eps),Oct 2011 - Dec 2011,"1,457,274 members"
Initial D Final Stage,8.28,TV (4 eps),May 2014 - Jun 2014,"134,000 members"
Redline,8.28,Movie (1 eps),Aug 2009 - Aug 2009,"362,339 members"
Shinsekai yori,8.28,TV (25 eps),Sep 2012 - Mar 2013,"760,034 members"
Shirobako,8.28,TV (24 eps),Oct 2014 - Mar 2015,"434,107 members"
Koukaku Kidoutai,8.27,Movie (1 eps),Nov 1995 - Nov 1995,"609,468 members"
Nodame Cantabile,8.27,TV (23 eps),Jan 2007 - Jun 2007,"307,827 members"
Tokyo Godfathers,8.27,Movie (1 eps),Nov 2003 - Nov 2003,"279,746 members"
Tsubasa: Tokyo Revelations,8.27,OVA (3 eps),Nov 2007 - Mar 2008,"93,582 members"
World Trigger 3rd Season,8.27,TV (14 eps),Oct 2021 - Jan 2022,"106,672 members"
Yuru Camp△,8.27,TV (12 eps),Jan 2018 - Mar 2018,"465,685 members"
Yuukoku no Moriarty Part 2,8.27,TV (13 eps),Apr 2021 - Jun 2021,"231,948 members"
Fate/strange Fake: Whispers of Dawn,8.27,Special (1 eps),Jul 2023 - Jul 2023,"58,457 members"
Gin no Saji 2nd Season,8.27,TV (11 eps),Jan 2014 - Mar 2014,"142,161 members"
Gyakkyou Burai Kaiji: Ultimate Survivor,8.27,TV (26 eps),Oct 2007 - Apr 2008,"341,558 members"
Diamond no Ace: Act II,8.26,TV (52 eps),Apr 2019 - Mar 2020,"85,763 members"
Ginga Eiyuu Densetsu: Die Neue These - Sakubou,8.26,Movie (12 eps),Sep 2022 - Nov 2022,"12,050 members"
Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,8.26,Movie (4 eps),Nov 2019 - Nov 2019,"24,614 members"
Hajime no Ippo: Champion Road,8.26,Special (1 eps),Apr 2003 - Apr 2003,"130,372 members"
Kono Subarashii Sekai ni Shukufuku wo! 2,8.26,TV (10 eps),Jan 2017 - Mar 2017,"1,450,774 members"
Naruto: Shippuuden,8.26,TV (500 eps),Feb 2007 - Mar 2017,"2,372,592 members"
Planetes,8.26,TV (26 eps),Oct 2003 - Apr 2004,"245,505 members"
Space☆Dandy 2nd Season,8.26,TV (13 eps),Jul 2014 - Sep 2014,"162,771 members"
Stranger: Mukou Hadan,8.26,Movie (1 eps),Sep 2007 - Sep 2007,"324,037 members"
Tenkuu no Shiro Laputa,8.26,Movie (1 eps),Aug 1986 - Aug 1986,"464,881 members"
Tonari no Totoro,8.25,Movie (1 eps),Apr 1988 - Apr 1988,"1,018,462 members"
Bakemono no Ko,8.25,Movie (1 eps),Jul 2015 - Jul 2015,"411,027 members"
Gyakkyou Burai Kaiji: Hakairoku-hen,8.25,TV (26 eps),Apr 2011 - Sep 2011,"187,062 members"
Hunter x Hunter: Greed Island Final,8.25,OVA (14 eps),Mar 2004 - Aug 2004,"140,434 members"
Kuroshitsuji Movie: Book of the Atlantic,8.25,Movie (1 eps),Jan 2017 - Jan 2017,"188,033 members"
Non Non Biyori Movie: Vacation,8.25,Movie (1 eps),Aug 2018 - Aug 2018,"74,854 members"
Sennen Joyuu,8.25,Movie (1 eps),Sep 2002 - Sep 2002,"177,923 members"
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,8.25,Special (1 eps),Dec 2015 - Dec 2015,"250,731 members"
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.24,TV (13 eps),Oct 2018 - Dec 2018,"1,655,447 members"
Youjo Senki Movie,8.24,Movie (1 eps),Feb 2019 - Feb 2019,"264,145 members"
Detective Conan: Episode One - The Great Detective Turned Small,8.24,Special (1 eps),Dec 2016 - Dec 2016,"29,765 members"
Dororo,8.24,TV (24 eps),Jan 2019 - Jun 2019,"1,161,369 members"
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen,8.24,TV (11 eps),Jan 2023 - Mar 2023,"175,558 members"
Golden Kamuy 2nd Season,8.24,TV (12 eps),Oct 2018 - Dec 2018,"192,510 members"
Danshi Koukousei no Nichijou,8.23,TV (12 eps),Jan 2012 - Mar 2012,"797,953 members"
Hajime no Ippo: Mashiba vs. Kimura,8.23,OVA (1 eps),Sep 2003 - Sep 2003,"104,312 members"
Holo no Graffiti,8.23,ONA (? eps),May 2019 -,"52,733 members"
Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,8.23,TV (25 eps),Oct 2016 - Apr 2017,"137,220 members"
Nodame Cantabile: Finale,8.23,TV (11 eps),Jan 2010 - Mar 2010,"125,650 members"
Re:Zero kara Hajimeru Isekai Seikatsu,8.23,TV (25 eps),Apr 2016 - Sep 2016,"2,109,204 members"
Sasaki to Miyano,8.23,TV (12 eps),Jan 2022 - Mar 2022,"174,112 members"
Sono Bisque Doll wa Koi wo Suru,8.23,TV (12 eps),Jan 2022 - Mar 2022,"959,442 members"
Tengoku Daimakyou,8.23,TV (13 eps),Apr 2023 - Jun 2023,"342,401 members"
Tanoshii Muumin Ikka,8.22,TV (78 eps),Apr 1990 - Oct 1991,"25,868 members"
Trigun,8.22,TV (26 eps),Apr 1998 - Sep 1998,"733,381 members"
Ao Ashi,8.22,TV (24 eps),Apr 2022 - Sep 2022,"188,878 members"
Bungou Stray Dogs 3rd Season,8.22,TV (12 eps),Apr 2019 - Jun 2019,"591,737 members"
Dr. Stone: Ryuusui,8.22,Special (1 eps),Jul 2022 - Jul 2022,"241,160 members"
Fruits Basket 1st Season,8.22,TV (25 eps),Apr 2019 - Sep 2019,"783,845 members"
Great Pretender,8.22,TV (23 eps),Jul 2020 - Dec 2020,"623,456 members"
Horimiya: Piece,8.22,TV (13 eps),Jul 2023 -,"196,195 members"
IDOLiSH7 Third Beat!,8.22,TV (13 eps),Jul 2021 - Sep 2021,"20,684 members"
Kono Sekai no Katasumi ni,8.22,Movie (1 eps),Nov 2016 - Nov 2016,"180,758 members"
Kotarou wa Hitorigurashi,8.22,ONA (10 eps),Mar 2022 - Mar 2022,"135,517 members"
Kuroko no Basket 2nd Season,8.22,TV (25 eps),Oct 2013 - Mar 2014,"826,800 members"
Magi: The Kingdom of Magic,8.22,TV (25 eps),Oct 2013 - Mar 2014,"819,283 members"
Majo no Takkyuubin,8.22,Movie (1 eps),Jul 1989 - Jul 1989,"554,169 members"
Major S1,8.22,TV (26 eps),Nov 2004 - May 2005,"98,808 members"
Major S3,8.22,TV (26 eps),Jan 2007 - Jun 2007,"67,646 members"
Mimi wo Sumaseba,8.22,Movie (1 eps),Jul 1995 - Jul 1995,"342,705 members"
One Piece Movie 14: Stampede,8.22,Movie (1 eps),Aug 2019 - Aug 2019,"174,582 members"
Ookami to Koushinryou,8.22,TV (13 eps),Jan 2008 - Mar 2008,"792,008 members"
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,8.21,Movie (1 eps),Oct 2012 - Oct 2012,"193,564 members"
Shoujo Shuumatsu Ryokou,8.21,TV (12 eps),Oct 2017 - Dec 2017,"325,508 members"
SKET Dance,8.21,TV (77 eps),Apr 2011 - Sep 2012,"220,508 members"
xxxHOLiC◆Kei,8.21,TV (13 eps),Apr 2008 - Jun 2008,"139,517 members"
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8.21,TV (13 eps),Apr 2015 - Jun 2015,"1,024,935 members"
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8.21,Movie (1 eps),Jul 2000 - Jul 2000,"112,641 members"
Detective Conan Movie 13: The Raven Chaser,8.21,Movie (1 eps),Apr 2009 - Apr 2009,"57,690 members"
Kamisama Hajimemashita◎,8.21,TV (12 eps),Jan 2015 - Mar 2015,"388,689 members"
Berserk: Ougon Jidai-hen III - Kourin,8.20,Movie (1 eps),Feb 2013 - Feb 2013,"216,044 members"
Hachimitsu to Clover II,8.20,TV (12 eps),Jun 2006 - Sep 2006,"104,760 members"
Haikyuu!! Movie 4: Concept no Tatakai,8.20,Movie (1 eps),Sep 2017 - Sep 2017,"79,125 members"
Horimiya,8.20,TV (13 eps),Jan 2021 - Apr 2021,"1,271,567 members"
InuYasha: Kanketsu-hen,8.20,TV (26 eps),Oct 2009 - Mar 2010,"274,253 members"
Kaguya-hime no Monogatari,8.20,Movie (1 eps),Nov 2013 - Nov 2013,"218,852 members"
Nomad: Megalo Box 2,8.20,TV (13 eps),Apr 2021 - Jun 2021,"192,434 members"
ReLIFE: Kanketsu-hen,8.20,Special (4 eps),Mar 2018 - Mar 2018,"374,493 members"
Saiki Kusuo no Ψ-nan: Kanketsu-hen,8.20,Special (1 eps),Dec 2018 - Dec 2018,"208,510 members"
Shoujo Kakumei Utena,8.20,TV (39 eps),Apr 1997 - Dec 1997,"209,810 members"
Vanitas no Karte Part 2,8.20,TV (12 eps),Jan 2022 - Apr 2022,"254,215 members"
xxxHOLiC Rou,8.19,OVA (2 eps),Apr 2010 - Mar 2011,"67,661 members"
Yojouhan Time Machine Blues,8.19,ONA (6 eps),Sep 2022 - Oct 2022,"36,096 members"
Yoru wa Mijikashi Arukeyo Otome,8.19,Movie (1 eps),Apr 2017 - Apr 2017,"120,091 members"
Asobi Asobase,8.19,TV (12 eps),Jul 2018 - Sep 2018,"455,269 members"
Bakuman.,8.19,TV (25 eps),Oct 2010 - Apr 2011,"606,176 members"
Bungou Stray Dogs 2nd Season,8.19,TV (12 eps),Oct 2016 - Dec 2016,"811,091 members"
Fate/stay night: Unlimited Blade Works,8.19,TV (12 eps),Oct 2014 - Dec 2014,"1,032,481 members"
Little Busters! Refrain,8.19,TV (13 eps),Oct 2013 - Dec 2013,"162,719 members"
Liz to Aoi Tori,8.19,Movie (1 eps),Apr 2018 - Apr 2018,"130,893 members"
Lycoris Recoil,8.19,TV (13 eps),Jul 2022 - Sep 2022,"435,381 members"
Maison Ikkoku,8.19,TV (96 eps),Mar 1986 - Mar 1988,"69,636 members"
Major S2,8.19,TV (26 eps),Dec 2005 - Jun 2006,"70,179 members"
Major S4,8.19,TV (26 eps),Jan 2008 - Jun 2008,"63,924 members"
No Game No Life: Zero,8.19,Movie (1 eps),Jul 2017 - Jul 2017,"838,957 members"
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,8.19,Special (1 eps),Aug 2013 - Aug 2013,"59,446 members"
Senki Zesshou Symphogear XV,8.19,TV (13 eps),Jul 2019 - Sep 2019,"37,559 members"
Stand By Me Doraemon 2,8.19,Movie (1 eps),Nov 2020 - Nov 2020,"21,541 members"
Non Non Biyori Repeat,8.18,TV (12 eps),Jul 2015 - Sep 2015,"194,644 members"
Ballroom e Youkoso,8.18,TV (24 eps),Jul 2017 - Dec 2017,"319,906 members"
Chihayafuru,8.18,TV (25 eps),Oct 2011 - Mar 2012,"446,485 members"
Girls & Panzer Movie,8.18,Movie (1 eps),Nov 2015 - Nov 2015,"102,181 members"
Higurashi no Naku Koro ni Kai,8.18,TV (24 eps),Jul 2007 - Dec 2007,"468,555 members"
Hunter x Hunter: Greed Island,8.18,OVA (8 eps),Feb 2003 - Apr 2003,"151,266 members"
Aria the Natural,8.17,TV (26 eps),Apr 2006 - Sep 2006,"76,985 members"
Black Lagoon: The Second Barrage,8.17,TV (12 eps),Oct 2006 - Dec 2006,"500,504 members"
Detective Conan,8.17,TV (? eps),Jan 1996 -,"337,287 members"
Detective Conan Movie 20: The Darkest Nightmare,8.17,Movie (1 eps),Apr 2016 - Apr 2016,"39,747 members"
Digimon Adventure: Last Evolution Kizuna,8.17,Movie (1 eps),Feb 2020 - Feb 2020,"41,071 members"
Dr. Stone: Stone Wars,8.17,TV (11 eps),Jan 2021 - Mar 2021,"976,621 members"
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,8.17,Movie (1 eps),Oct 2017 - Oct 2017,"435,692 members"
Girls & Panzer: Saishuushou Part 3,8.17,Movie (1 eps),Mar 2021 - Mar 2021,"23,931 members"
JoJo no Kimyou na Bouken Part 6: Stone Ocean,8.17,ONA (12 eps),Dec 2021 - Dec 2021,"459,565 members"
K-On!!,8.17,TV (26 eps),Apr 2010 - Sep 2010,"673,120 members"
Toaru Kagaku no Railgun T,8.17,TV (25 eps),Jan 2020 - Sep 2020,"221,608 members"
Wu Liuqi: Zui Qiang Fa Xing Shi,8.17,ONA (10 eps),Oct 2019 - Jan 2020,"67,346 members"
Paripi Koumei,8.17,TV (12 eps),Apr 2022 - Jun 2022,"269,769 members"
Made in Abyss Movie 1: Tabidachi no Yoake,8.16,Movie (1 eps),Jan 2019 - Jan 2019,"120,302 members"
Ouran Koukou Host Club,8.16,TV (26 eps),Apr 2006 - Sep 2006,"1,088,590 members"
Quanzhi Gaoshou Specials,8.16,ONA (3 eps),Apr 2018 - May 2018,"102,727 members"
Akira,8.16,Movie (1 eps),Jul 1988 - Jul 1988,"813,165 members"
Cardcaptor Sakura,8.16,TV (70 eps),Apr 1998 - Mar 2000,"423,382 members"
Dr. Stone: New World,8.16,TV (11 eps),Apr 2023 - Jun 2023,"375,697 members"
Dragon Ball Super: Broly,8.16,Movie (1 eps),Dec 2018 - Dec 2018,"377,835 members"
Dragon Ball Z,8.16,TV (291 eps),Apr 1989 - Jan 1996,"1,184,691 members"
Initial D Fourth Stage,8.16,TV (24 eps),Apr 2004 - Feb 2006,"175,856 members"
Initial D Second Stage,8.16,TV (13 eps),Oct 1999 - Jan 2000,"205,493 members"
Jigokuraku,8.16,TV (13 eps),Apr 2023 - Jul 2023,"532,138 members"
"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",8.16,OVA (1 eps),Dec 2016 - Dec 2016,"62,153 members"
Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,8.16,Movie (1 eps),Sep 2008 - Sep 2008,"159,318 members"
Yuukoku no Moriarty,8.16,TV (11 eps),Oct 2020 - Dec 2020,"395,757 members"
Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,8.15,Movie (1 eps),Apr 2015 - Apr 2015,"253,644 members"
Lupin III: Cagliostro no Shiro,8.15,Movie (1 eps),Dec 1979 - Dec 1979,"112,049 members"
Major: Message,8.15,OVA (1 eps),Dec 2010 - Dec 2010,"29,870 members"
Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,8.15,Movie (1 eps),Jan 2021 - Jan 2021,"33,134 members"
Non Non Biyori Nonstop: Bukatsu wo Ganbatta,8.15,OVA (1 eps),Mar 2022 - Mar 2022,"18,015 members"
Noragami Aragoto,8.15,TV (13 eps),Oct 2015 - Dec 2015,"1,411,834 members"
Shokugeki no Souma,8.15,TV (24 eps),Apr 2015 - Sep 2015,"1,595,305 members"
Skip to Loafer,8.15,TV (12 eps),Apr 2023 - Jun 2023,"195,341 members"
Black Clover,8.15,TV (170 eps),Oct 2017 - Mar 2021,"1,573,565 members"
Buddy Daddies,8.15,TV (12 eps),Jan 2023 - Apr 2023,"220,675 members"
Death Parade,8.15,TV (12 eps),Jan 2015 - Mar 2015,"1,702,748 members"
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,8.15,Movie (1 eps),Mar 2011 - Mar 2011,"13,941 members"
Eiga Daisuki Pompo-san,8.15,Movie (1 eps),Jun 2021 - Jun 2021,"34,208 members"
Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,8.15,Movie (4 eps),Oct 2019 - Oct 2019,"23,857 members"
Given: Uragawa no Sonzai,8.15,OVA (1 eps),Dec 2021 - Dec 2021,"80,651 members"
IDOLiSH7 Second Beat!,8.15,TV (15 eps),Apr 2020 - Dec 2020,"29,479 members"
Kaguya-sama wa Kokurasetai: Ultra Romantic Teaser PV - Ishigami Yuu wa Kataritai,8.15,ONA (1 eps),Oct 2021 - Oct 2021,"53,280 members"
Detective Conan Movie 26: Kurogane no Submarine,8.14,Movie (1 eps),Apr 2023 - Apr 2023,"7,002 members"
Gankutsuou,8.14,TV (24 eps),Oct 2004 - Mar 2005,"242,395 members"
Given Movie,8.14,Movie (1 eps),Aug 2020 - Aug 2020,"222,838 members"
Haikyuu!! Movie 3: Sainou to Sense,8.14,Movie (1 eps),Sep 2017 - Sep 2017,"82,120 members"
Hinamatsuri (TV),8.14,TV (12 eps),Apr 2018 - Jun 2018,"491,988 members"
Kaiba,8.14,TV (12 eps),Apr 2008 - Jul 2008,"146,703 members"
Tensei shitara Slime Datta Ken,8.14,TV (24 eps),Oct 2018 - Mar 2019,"1,355,254 members"
Working!!! Lord of the Takanashi,8.14,Special (1 eps),Mar 2016 - Mar 2016,"100,509 members"
Nisemonogatari,8.14,TV (11 eps),Jan 2012 - Mar 2012,"714,803 members"
Nodame Cantabile: Paris-hen,8.14,TV (11 eps),Oct 2008 - Dec 2008,"122,229 members"
One Piece Film: Z,8.14,Movie (1 eps),Dec 2012 - Dec 2012,"268,358 members"
Katekyo Hitman Reborn!,8.13,TV (203 eps),Oct 2006 - Sep 2010,"546,033 members"
Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,8.13,TV (13 eps),Apr 2019 - Aug 2019,"20,869 members"
Lupin III: Part 5,8.13,TV (24 eps),Apr 2018 - Sep 2018,"42,630 members"
Princess Tutu,8.13,TV (38 eps),Aug 2002 - May 2003,"163,381 members"
Seirei no Moribito,8.13,TV (26 eps),Apr 2007 - Sep 2007,"212,872 members"
Eizouken ni wa Te wo Dasu na!,8.13,TV (12 eps),Jan 2020 - Mar 2020,"321,946 members"
Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,8.13,Special (1 eps),Apr 2015 - Apr 2015,"39,875 members"
Golden Kamuy 4th Season,8.13,TV (13 eps),Oct 2022 - Jun 2023,"83,120 members"
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,8.13,TV (13 eps),Jul 2022 - Sep 2022,"536,391 members"
Tamayura: Sotsugyou Shashin Part 4 - Ashita,8.12,Movie (1 eps),Apr 2016 - Apr 2016,"10,812 members"
Violet Evergarden: Recollections,8.12,Special (1 eps),Oct 2021 - Oct 2021,"23,901 members"
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,8.12,Movie (1 eps),Jul 2012 - Jul 2012,"23,384 members"
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,8.12,Special (1 eps),Aug 2012 - Aug 2012,"67,319 members"
Detective Conan Movie 05: Countdown to Heaven,8.12,Movie (1 eps),Apr 2001 - Apr 2001,"61,491 members"
Ginga Eiyuu Densetsu Gaiden,8.12,OVA (24 eps),Feb 1998 - Sep 1998,"23,336 members"
Black Clover: Mahou Tei no Ken,8.11,Movie (1 eps),Jun 2023 - Jun 2023,"185,396 members"
Boku no Hero Academia 2nd Season,8.11,TV (25 eps),Apr 2017 - Sep 2017,"2,429,737 members"
Chuunibyou demo Koi ga Shitai! Movie: Take On Me,8.11,Movie (1 eps),Jan 2018 - Jan 2018,"259,075 members"
Detective Conan Movie 14: The Lost Ship in the Sky,8.11,Movie (1 eps),Apr 2010 - Apr 2010,"54,919 members"
Diamond no Ace,8.11,TV (75 eps),Oct 2013 - Mar 2015,"237,401 members"
Douluo Dalu 2nd Season,8.11,ONA (237 eps),Dec 2018 - Jun 2023,"18,847 members"
Durarara!!,8.11,TV (24 eps),Jan 2010 - Jun 2010,"1,368,476 members"
Fullmetal Alchemist,8.11,TV (51 eps),Oct 2003 - Oct 2004,"1,434,001 members"
Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,8.11,Special (1 eps),Nov 2015 - Nov 2015,"33,391 members"
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,8.11,TV (12 eps),Apr 2020 - Jun 2020,"196,373 members"
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,8.11,ONA (12 eps),Sep 2022 - Sep 2022,"217,367 members"
Toki wo Kakeru Shoujo,8.11,Movie (1 eps),Jul 2006 - Jul 2006,"771,443 members"
Kaze Tachinu,8.11,Movie (1 eps),Jul 2013 - Jul 2013,"316,468 members"
Kidou Senshi Gundam 00,8.11,TV (25 eps),Oct 2007 - Mar 2008,"214,958 members"
Kono Subarashii Sekai ni Shukufuku wo!,8.11,TV (10 eps),Jan 2016 - Mar 2016,"1,878,750 members"
Koukaku Kidoutai: Stand Alone Complex - Solid State Society,8.11,Special (1 eps),Sep 2006 - Sep 2006,"98,026 members"
Kuragehime,8.11,TV (11 eps),Oct 2010 - Dec 2010,"229,148 members"
Mahoutsukai no Yome: Hoshi Matsu Hito,8.11,OVA (3 eps),Sep 2016 - Sep 2017,"274,614 members"
Mirai Shounen Conan,8.11,TV (26 eps),Apr 1978 - Oct 1978,"48,121 members"
Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,8.11,ONA (6 eps),Dec 2019 - Dec 2019,"211,769 members"
Kidou Senshi Gundam Unicorn,8.10,OVA (7 eps),Mar 2010 - Jun 2014,"96,019 members"
Kuroko no Basket: Saikou no Present desu,8.10,Special (1 eps),Dec 2015 - Dec 2015,"102,822 members"
Akatsuki no Yona OVA,8.10,OVA (3 eps),Sep 2015 - Dec 2016,"130,470 members"
Detroit Metal City,8.10,OVA (12 eps),Aug 2008 - Oct 2008,"206,759 members"
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,8.10,TV (24 eps),Apr 2014 - Sep 2014,"1,160,267 members"
Kamisama Hajimemashita,8.10,TV (13 eps),Oct 2012 - Dec 2012,"628,557 members"
Tsubasa: Shunraiki,8.10,OVA (2 eps),Mar 2009 - May 2009,"61,144 members"
Tsukimonogatari,8.09,TV (4 eps),Dec 2014 - Dec 2014,"407,278 members"
Tsurune: Tsunagari no Issha,8.09,TV (13 eps),Jan 2023 - Mar 2023,"46,694 members"
Uchouten Kazoku 2,8.09,TV (12 eps),Apr 2017 - Jun 2017,"62,751 members"
Yuusha-Ou GaoGaiGar Final,8.09,OVA (8 eps),Jan 2000 - Mar 2003,"9,886 members"
Zankyou no Terror,8.09,TV (11 eps),Jul 2014 - Sep 2014,"1,126,979 members"
Kimi wa Houkago Insomnia,8.09,TV (13 eps),Apr 2023 - Jul 2023,"163,967 members"
Overlord IV,8.09,TV (13 eps),Jul 2022 - Sep 2022,"471,579 members"
Saint Seiya: The Lost Canvas - Meiou Shinwa 2,8.09,OVA (13 eps),Feb 2011 - Jul 2011,"73,482 members"
Serial Experiments Lain,8.09,TV (13 eps),Jul 1998 - Sep 1998,"729,378 members"
Shokugeki no Souma: Ni no Sara,8.09,TV (13 eps),Jul 2016 - Sep 2016,"1,103,426 members"
Stand By Me Doraemon,8.09,Movie (1 eps),Aug 2014 - Aug 2014,"51,674 members"
Ansatsu Kyoushitsu,8.09,TV (22 eps),Jan 2015 - Jun 2015,"1,932,389 members"
Baccano! Specials,8.09,Special (3 eps),Feb 2008 - May 2008,"175,909 members"
Gin no Saji,8.09,TV (11 eps),Jul 2013 - Sep 2013,"285,671 members"
Hajime no Ippo: Boxer no Kobushi,8.09,Special (1 eps),Mar 2003 - Mar 2003,"52,427 members"
Initial D Fifth Stage,8.09,TV (14 eps),Nov 2012 - May 2013,"139,884 members"
Fumetsu no Anata e Season 2,8.08,TV (20 eps),Oct 2022 - Mar 2023,"249,939 members"
Ginga Eiyuu Densetsu: Arata naru Tatakai no Overture,8.08,Movie (1 eps),Dec 1993 - Dec 1993,"33,441 members"
Gintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga Choudoyoi,8.08,Special (1 eps),Sep 2005 - Sep 2005,"55,120 members"
Hidamari Sketch: Sae Hiro Sotsugyou-hen,8.08,OVA (2 eps),Nov 2013 - Nov 2013,"13,548 members"
Hikaru no Go,8.08,TV (75 eps),Oct 2001 - Mar 2003,"134,383 members"
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,8.08,TV (10 eps),Apr 2022 - Jun 2022,"139,469 members"
Kanata no Astra,8.08,TV (12 eps),Jul 2019 - Sep 2019,"290,891 members"
Toradora!,8.08,TV (25 eps),Oct 2008 - Mar 2009,"2,135,532 members"
Kidou Senshi Gundam 00 Second Season,8.08,TV (25 eps),Oct 2008 - Mar 2009,"147,674 members"
Kuroko no Basket Movie 4: Last Game,8.08,Movie (1 eps),Mar 2017 - Mar 2017,"290,428 members"
