title,score,episode,aired,user
School Rumble,7.89,TV (26 eps),Oct 2004 - Mar 2005,"321,559 members"
Aria the Avvenire,7.89,Special (3 eps),Sep 2015 - Sep 2015,"26,804 members"
Bishoujo Senshi Sailor Moon S,7.89,TV (38 eps),Mar 1994 - Feb 1995,"142,489 members"
Boku no Hero Academia,7.89,TV (13 eps),Apr 2016 - Jun 2016,"2,906,321 members"
Code Geass: Hangyaku no Lelouch I - Koudou,7.89,Movie (1 eps),Oct 2017 - Oct 2017,"97,297 members"
Death Billiards,7.89,Movie (1 eps),Mar 2013 - Mar 2013,"233,916 members"
ef: A Tale of Memories.,7.89,TV (12 eps),Oct 2007 - Dec 2007,"251,461 members"
Free! Eternal Summer: Kindan no All Hard!,7.89,Special (1 eps),Mar 2015 - Mar 2015,"92,139 members"
Higurashi no Naku Koro ni,7.89,TV (26 eps),Apr 2006 - Sep 2006,"785,024 members"
Ie Naki Ko Remy,7.89,TV (23 eps),Sep 1996 - Mar 1997,"20,026 members"
JoJo no Kimyou na Bouken (TV),7.89,TV (26 eps),Oct 2012 - Apr 2013,"1,587,927 members"
Tennis no Oujisama: Zenkoku Taikai-hen,7.89,OVA (13 eps),Mar 2006 - Mar 2007,"45,387 members"
Tennis no Oujisama: Zenkoku Taikai-hen - Semifinal,7.89,OVA (6 eps),Jun 2007 - Jan 2008,"36,493 members"
Tonikaku Kawaii,7.89,TV (12 eps),Oct 2020 - Dec 2020,"701,318 members"
Summer Ghost,7.88,Movie (1 eps),Nov 2021 - Nov 2021,"89,319 members"
Terra e... (TV),7.88,TV (24 eps),Apr 2007 - Sep 2007,"60,727 members"
Kidou Senshi Gundam: Suisei no Majo - Prologue,7.88,Special (1 eps),Jul 2022 - Jul 2022,"39,607 members"
Les Misérables: Shoujo Cosette,7.88,TV (52 eps),Jan 2007 - Dec 2007,"28,361 members"
Megalo Box,7.88,TV (13 eps),Apr 2018 - Jun 2018,"492,792 members"
Mushoku Tensei: Isekai Ittara Honki Dasu - Eris no Goblin Toubatsu,7.88,Special (1 eps),Mar 2022 - Mar 2022,"143,565 members"
"Natsu e no Tunnel, Sayonara no Deguchi",7.88,Movie (1 eps),Sep 2022 - Sep 2022,"87,138 members"
One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,7.88,Special (1 eps),Aug 2017 - Aug 2017,"38,445 members"
Ookiku Furikabutte,7.88,TV (25 eps),Apr 2007 - Sep 2007,"98,470 members"
Osomatsu-san Movie,7.88,Movie (1 eps),Mar 2019 - Mar 2019,"14,593 members"
Quanzhi Gaoshou,7.88,ONA (12 eps),Apr 2017 - Jun 2017,"359,310 members"
Shijou Saikyou no Deshi Kenichi OVA,7.88,OVA (11 eps),Mar 2012 - May 2014,"56,086 members"
Space☆Dandy,7.88,TV (13 eps),Jan 2014 - Mar 2014,"344,547 members"
Detective Conan Movie 02: The Fourteenth Target,7.88,Movie (1 eps),Apr 1998 - Apr 1998,"61,862 members"
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,7.88,Movie (1 eps),Feb 1988 - Feb 1988,"37,884 members"
Hoozuki no Reitetsu 2nd Season,7.88,TV (13 eps),Oct 2017 - Dec 2017,"45,784 members"
Jigoku Shoujo Futakomori,7.88,TV (26 eps),Oct 2006 - Apr 2007,"158,140 members"
Kami nomi zo Shiru Sekai II,7.88,TV (12 eps),Apr 2011 - Jun 2011,"382,526 members"
5-toubun no Hanayome Movie,7.87,Movie (1 eps),May 2022 - May 2022,"211,689 members"
BanG Dream! Film Live 2nd Stage,7.87,Movie (1 eps),Aug 2021 - Aug 2021,"6,445 members"
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,7.87,Movie (1 eps),Jun 2012 - Jun 2012,"205,151 members"
Carnival Phantasm,7.87,OVA (12 eps),Aug 2011 - Dec 2011,"192,628 members"
Cike Wu Liuqi,7.87,ONA (10 eps),Apr 2018 - Jun 2018,"92,834 members"
Cool Doji Danshi,7.87,TV (24 eps),Oct 2022 - Mar 2023,"79,345 members"
Dance Dance Danseur,7.87,TV (11 eps),Apr 2022 - Jun 2022,"78,757 members"
Golden Kamuy,7.87,TV (12 eps),Apr 2018 - Jun 2018,"367,604 members"
Heartcatch Precure!,7.87,TV (49 eps),Feb 2010 - Jan 2011,"30,797 members"
High☆Speed! Movie: Free! Starting Days,7.87,Movie (1 eps),Dec 2015 - Dec 2015,"90,620 members"
Hug tto! Precure,7.87,TV (49 eps),Feb 2018 - Jan 2019,"15,734 members"
Top wo Nerae! Gunbuster,7.87,OVA (6 eps),Oct 1988 - Jul 1989,"122,213 members"
Umibe no Étranger,7.87,Movie (1 eps),Sep 2020 - Sep 2020,"162,322 members"
Wu Liuqi: Anying Suming,7.87,ONA (10 eps),Jan 2023 - Mar 2023,"12,196 members"
Zan Sayonara Zetsubou Sensei,7.87,TV (13 eps),Jul 2009 - Sep 2009,"105,096 members"
Machikado Mazoku: 2-choume,7.87,TV (12 eps),Apr 2022 - Jul 2022,"63,493 members"
Mahou Shoujo Lyrical Nanoha: The Movie 1st,7.87,Movie (1 eps),Jan 2010 - Jan 2010,"30,639 members"
Musekinin Kanchou Tylor,7.87,TV (26 eps),Jan 1993 - Jul 1993,"48,009 members"
Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,7.87,OVA (1 eps),Apr 2009 - Apr 2009,"165,117 members"
Sekaiichi Hatsukoi OVA,7.87,OVA (2 eps),Mar 2011 - Sep 2011,"69,713 members"
Shingeki no Kyojin OVA,7.87,OVA (3 eps),Dec 2013 - Aug 2014,"445,790 members"
Lupin III vs. Detective Conan: The Movie,7.86,Movie (1 eps),Dec 2013 - Dec 2013,"31,253 members"
Lupin the IIIrd: Chikemuri no Ishikawa Goemon,7.86,Movie (1 eps),Feb 2017 - Feb 2017,"38,335 members"
Magic Kaito 1412,7.86,TV (24 eps),Oct 2014 - Mar 2015,"120,498 members"
New Initial D Movie: Legend 3 - Mugen,7.86,Movie (1 eps),Feb 2016 - Feb 2016,"26,075 members"
One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,7.86,Special (1 eps),Aug 2014 - Aug 2014,"88,714 members"
Sayonara Zetsubou Sensei,7.86,TV (12 eps),Jul 2007 - Sep 2007,"337,218 members"
Seitokai Yakuindomo* OVA,7.86,OVA (10 eps),May 2014 - Sep 2020,"77,448 members"
Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,7.86,Movie (1 eps),Mar 2014 - Mar 2014,"65,111 members"
Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa,7.86,Movie (1 eps),Jun 2015 - Jun 2015,"122,793 members"
Beelzebub,7.86,TV (60 eps),Jan 2011 - Mar 2012,"581,378 members"
Berserk: Ougon Jidai-hen - Memorial Edition,7.86,TV (13 eps),Oct 2022 - Dec 2022,"33,831 members"
Carole & Tuesday,7.86,TV (24 eps),Apr 2019 - Oct 2019,"317,669 members"
Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,7.86,Movie (1 eps),Apr 2001 - Apr 2001,"9,581 members"
Detective Conan Movie 01: The Timed Skyscraper,7.86,Movie (1 eps),Apr 1997 - Apr 1997,"69,528 members"
Douluo Dalu,7.86,ONA (26 eps),Jan 2018 - Jul 2018,"27,108 members"
InuYasha,7.86,TV (167 eps),Oct 2000 - Sep 2004,"771,052 members"
Tennis no Oujisama,7.86,TV (178 eps),Oct 2001 - Mar 2005,"179,344 members"
Uma Musume: Pretty Derby - Road to the Top,7.86,ONA (4 eps),Apr 2023 - May 2023,"9,186 members"
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,7.86,TV (12 eps),Jul 2017 - Sep 2017,"1,170,176 members"
Tiger & Bunny,7.85,TV (25 eps),Apr 2011 - Sep 2011,"222,669 members"
Urusei Yatsura 2: Beautiful Dreamer,7.85,Movie (1 eps),Feb 1984 - Feb 1984,"19,088 members"
Wan Sheng Jie,7.85,ONA (12 eps),Apr 2020 - May 2020,"23,734 members"
Yamada-kun to Lv999 no Koi wo Suru,7.85,TV (13 eps),Apr 2023 - Jun 2023,"302,364 members"
Yuru Yuri Nachuyachumi!,7.85,OVA (1 eps),Feb 2015 - Feb 2015,"71,988 members"
Non Non Biyori Repeat: Hotaru ga Tanoshinda,7.85,OVA (1 eps),Sep 2016 - Sep 2016,"47,892 members"
Noragami Aragoto OVA,7.85,OVA (2 eps),Nov 2015 - Mar 2016,"253,383 members"
One Piece Film: Red,7.85,Movie (1 eps),Aug 2022 - Aug 2022,"139,193 members"
Paradise Kiss,7.85,TV (12 eps),Oct 2005 - Dec 2005,"216,405 members"
Detective Conan Movie 22: Zero the Enforcer,7.85,Movie (1 eps),Apr 2018 - Apr 2018,"29,104 members"
Detective Conan Movie 23: The Fist of Blue Sapphire,7.85,Movie (1 eps),Apr 2019 - Apr 2019,"27,680 members"
Durarara!! Specials,7.85,Special (2 eps),Aug 2010 - Feb 2011,"165,698 members"
Hanasaku Iroha Movie: Home Sweet Home,7.85,Movie (1 eps),Mar 2013 - Mar 2013,"88,554 members"
Hoozuki no Reitetsu 2nd Season: Sono Ni,7.85,TV (13 eps),Apr 2018 - Jul 2018,"28,060 members"
Hoozuki no Reitetsu OVA,7.85,OVA (4 eps),Feb 2015 - Mar 2017,"17,031 members"
Ie Naki Ko,7.85,TV (51 eps),Oct 1977 - Oct 1978,"15,029 members"
K-On!,7.85,TV (13 eps),Apr 2009 - Jun 2009,"1,021,354 members"
K-On!!: Keikaku!,7.85,Special (1 eps),Mar 2011 - Mar 2011,"122,719 members"
Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,7.85,OVA (1 eps),Dec 2005 - Dec 2005,"14,073 members"
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,7.84,Movie (1 eps),Aug 2013 - Aug 2013,"287,999 members"
Beastars,7.84,TV (12 eps),Oct 2019 - Dec 2019,"817,926 members"
Grisaia no Meikyuu: Caprice no Mayu 0,7.84,Special (1 eps),Apr 2015 - Apr 2015,"225,254 members"
Hanma Baki: Son of Ogre 2nd Season,7.84,ONA (? eps),Jul 2023 - Aug 2023,"39,351 members"
Id:Invaded,7.84,TV (13 eps),Jan 2020 - Mar 2020,"348,921 members"
Isekai Ojisan,7.84,TV (13 eps),Jul 2022 - Mar 2023,"307,882 members"
Jibaku Shounen Hanako-kun,7.84,TV (12 eps),Jan 2020 - Mar 2020,"561,646 members"
K-On!: Live House!,7.84,Special (1 eps),Jan 2010 - Jan 2010,"156,831 members"
Tomo-chan wa Onnanoko!,7.84,TV (13 eps),Jan 2023 - Mar 2023,"326,830 members"
Trigun Stampede,7.84,TV (12 eps),Jan 2023 - Mar 2023,"149,164 members"
Tunshi Xingkong 2nd Season,7.84,ONA (104 eps),Dec 2021 -,"4,684 members"
Uchouten Kazoku,7.84,TV (13 eps),Jul 2013 - Sep 2013,"164,154 members"
Yume-iro Pâtissière,7.84,TV (50 eps),Oct 2009 - Sep 2010,"79,714 members"
Yuusha-Ou GaoGaiGar,7.84,TV (49 eps),Feb 1997 - Jan 1998,"20,954 members"
Kono Subarashii Sekai ni Shukufuku wo! Kono Subarashii Choker ni Shukufuku wo!,7.84,OVA (1 eps),Jun 2016 - Jun 2016,"389,271 members"
Magi: Sinbad no Bouken (TV),7.84,TV (13 eps),Apr 2016 - Jul 2016,"466,884 members"
Michiko to Hatchin,7.84,TV (22 eps),Oct 2008 - Mar 2009,"194,802 members"
Oniisama e...,7.84,TV (39 eps),Jul 1991 - May 1992,"44,913 members"
Seihou Bukyou Outlaw Star,7.84,TV (24 eps),Jan 1998 - Jun 1998,"151,369 members"
Sekaiichi Hatsukoi 2,7.84,TV (12 eps),Oct 2011 - Dec 2011,"154,113 members"
Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou,7.84,Movie (1 eps),Jan 2018 - Jan 2018,"66,045 members"
Soul Eater,7.84,TV (51 eps),Apr 2008 - Mar 2009,"1,575,356 members"
Kara no Kyoukai Movie 4: Garan no Dou,7.83,Movie (1 eps),May 2008 - May 2008,"209,954 members"
Planetarian: Hoshi no Hito,7.83,Movie (1 eps),Sep 2016 - Sep 2016,"46,977 members"
Rurouni Kenshin: Meiji Kenkaku Romantan (2023),7.83,TV (24 eps),Jul 2023 -,"78,720 members"
Seitokai Yakuindomo Movie,7.83,Movie (1 eps),Jul 2017 - Jul 2017,"58,257 members"
91 Days,7.83,TV (12 eps),Jul 2016 - Oct 2016,"693,998 members"
Aoki Hagane no Arpeggio: Ars Nova Movie 2 - Cadenza,7.83,Movie (1 eps),Oct 2015 - Oct 2015,"30,733 members"
Break Blade Movie 4: Sanka no Chi,7.83,Movie (1 eps),Oct 2010 - Oct 2010,"57,216 members"
Capeta,7.83,TV (52 eps),Oct 2005 - Sep 2006,"26,284 members"
Danshi Koukousei no Nichijou Specials,7.83,Special (6 eps),Apr 2012 - Sep 2012,"133,614 members"
Gekkan Shoujo Nozaki-kun,7.83,TV (12 eps),Jul 2014 - Sep 2014,"901,505 members"
Gungrave,7.83,TV (26 eps),Oct 2003 - Mar 2004,"185,117 members"
Haikyuu!! Riku vs. Kuu,7.83,OVA (2 eps),Jan 2020 - Jan 2020,"285,322 members"
Hidamari Sketch x 365,7.83,TV (13 eps),Jul 2008 - Sep 2008,"31,398 members"
Suzumiya Haruhi no Yuuutsu,7.83,TV (14 eps),Apr 2006 - Jul 2006,"894,633 members"
Tamayura: Sotsugyou Shashin Part 3 - Akogare,7.83,Movie (1 eps),Nov 2015 - Nov 2015,"9,588 members"
Tanaka-kun wa Itsumo Kedaruge,7.83,TV (12 eps),Apr 2016 - Jun 2016,"447,886 members"
Tasogare Otome x Amnesia,7.83,TV (12 eps),Apr 2012 - Jun 2012,"391,914 members"
Tentai Senshi Sunred 2nd Season,7.83,TV (26 eps),Oct 2009 - Mar 2010,"7,911 members"
Tunshi Xingkong,7.83,ONA (26 eps),Nov 2020 - May 2021,"6,351 members"
Violet Evergarden CM,7.83,ONA (2 eps),May 2016 - Mar 2017,"5,251 members"
Wan Sheng Jie 2,7.83,ONA (12 eps),Oct 2020 - Dec 2020,"11,084 members"
Working'!!,7.82,TV (13 eps),Oct 2011 - Dec 2011,"259,090 members"
Yuru Yuri♪♪,7.82,TV (12 eps),Jul 2012 - Sep 2012,"181,662 members"
Kidou Senshi Gundam: Senkou no Hathaway,7.82,Movie (1 eps),Jun 2021 - Jun 2021,"33,972 members"
Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon desu,7.82,Special (1 eps),Jan 2022 - Jan 2022,"68,807 members"
Kokoro ga Sakebitagatterunda.,7.82,Movie (1 eps),Sep 2015 - Sep 2015,"322,018 members"
Lupin III: The First,7.82,Movie (1 eps),Dec 2019 - Dec 2019,"30,681 members"
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,7.82,TV (12 eps),Jan 2023 - Mar 2023,"252,053 members"
Seto no Hanayome OVA,7.82,OVA (2 eps),Nov 2008 - Jan 2009,"52,467 members"
Somali to Mori no Kamisama,7.82,TV (12 eps),Jan 2020 - Mar 2020,"279,417 members"
Bungou Stray Dogs,7.82,TV (12 eps),Apr 2016 - Jun 2016,"1,318,451 members"
Eikoku Koi Monogatari Emma: Molders-hen,7.82,TV (12 eps),Apr 2007 - Jul 2007,"26,422 members"
Flanders no Inu (Movie),7.82,Movie (1 eps),Mar 1997 - Mar 1997,"21,682 members"
Haikyuu!! (OVA),7.82,OVA (10 eps),Mar 2020 - Mar 2020,"30,293 members"
Igano Kabamaru,7.82,TV (24 eps),Oct 1983 - Mar 1984,"10,800 members"
Aggressive Retsuko (ONA) 3rd Season,7.81,ONA (10 eps),Aug 2020 - Aug 2020,"85,484 members"
Akachan to Boku,7.81,TV (35 eps),Jul 1996 - Mar 1997,"22,221 members"
Blue Period,7.81,TV (12 eps),Oct 2021 - Dec 2021,"433,644 members"
Break Blade Movie 5: Shisen no Hate,7.81,Movie (1 eps),Jan 2011 - Jan 2011,"54,965 members"
Detective Conan Movie 08: Time Travel of the Silver Sky,7.81,Special (1 eps),Apr 2004 - Apr 2004,"21,092 members"
Doraemon (1979),7.81,TV (1787 eps),Apr 1979 - Mar 2005,"60,355 members"
Enen no Shouboutai: Ni no Shou,7.81,TV (24 eps),Jul 2020 - Dec 2020,"724,550 members"
Go! Princess Precure,7.81,TV (50 eps),Feb 2015 - Jan 2016,"17,256 members"
Goku Sayonara Zetsubou Sensei,7.81,OVA (3 eps),Oct 2008 - Feb 2009,"63,541 members"
Hibike! Euphonium Movie 2: Todoketai Melody,7.81,Movie (1 eps),Sep 2017 - Sep 2017,"28,604 members"
Hidamari Sketch x ☆☆☆ Specials,7.81,Special (2 eps),Oct 2010 - Oct 2010,"14,692 members"
Inu-Ou,7.81,Movie (1 eps),May 2022 - May 2022,"22,701 members"
Jungle wa Itsumo Hare nochi Guu,7.81,TV (26 eps),Apr 2001 - Sep 2001,"33,536 members"
Undead Girl Murder Farce,7.81,TV (13 eps),Jul 2023 -,"69,120 members"
Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou,7.81,Movie (1 eps),Dec 2016 - Dec 2016,"40,060 members"
Kuroko no Basket: Tip Off,7.81,Special (1 eps),Feb 2013 - Feb 2013,"101,950 members"
Little Witch Academia (TV),7.81,TV (25 eps),Jan 2017 - Jun 2017,"622,490 members"
Lupin the IIIrd: Jigen Daisuke no Bohyou,7.81,Movie (1 eps),Jun 2014 - Jun 2014,"28,118 members"
Mahoujin Guruguru (2017),7.81,TV (24 eps),Jul 2017 - Dec 2017,"32,263 members"
Mairimashita! Iruma-kun 3rd Season,7.81,TV (21 eps),Oct 2022 - Mar 2023,"167,269 members"
Maria-sama ga Miteru 3rd,7.81,OVA (5 eps),Dec 2006 - Jul 2007,"22,206 members"
Ojamajo Doremi Na-i-sho,7.81,OVA (13 eps),Jun 2004 - Dec 2004,"10,350 members"
Owarimonogatari 2nd Season Recaps,7.81,Special (2 eps),Aug 2017 - Aug 2017,"25,248 members"
Shingeki no Kyojin: Lost Girls,7.81,OVA (3 eps),Dec 2017 - Aug 2018,"294,274 members"
Slayers Try,7.81,TV (26 eps),Apr 1997 - Sep 1997,"53,828 members"
Star☆Twinkle Precure: Hoshi no Uta ni Omoi wo Komete,7.81,Movie (1 eps),Oct 2019 - Oct 2019,"3,716 members"
Little Witch Academia,7.80,Movie (1 eps),Mar 2013 - Mar 2013,"306,220 members"
Lucky☆Star: Original na Visual to Animation,7.80,OVA (1 eps),Sep 2008 - Sep 2008,"130,270 members"
Magi: Sinbad no Bouken,7.80,OVA (5 eps),May 2014 - Jul 2015,"131,354 members"
Mo Dao Zu Shi Q,7.80,ONA (30 eps),Jul 2020 - Jan 2021,"22,848 members"
New Initial D Movie: Legend 2 - Tousou,7.80,Movie (1 eps),May 2015 - May 2015,"28,887 members"
Nodame Cantabile: Finale - Mine to Kiyora no Saikai,7.80,Special (1 eps),Apr 2010 - Apr 2010,"43,360 members"
Princess Connect! Re:Dive Season 2,7.80,TV (12 eps),Jan 2022 - Mar 2022,"119,528 members"
Psycho-Pass 3: First Inspector,7.80,ONA (3 eps),Mar 2020 - Mar 2020,"90,905 members"
Saint☆Oniisan (Movie),7.80,Movie (1 eps),May 2013 - May 2013,"93,392 members"
Seikai no Senki II,7.80,TV (10 eps),Jul 2001 - Sep 2001,"23,264 members"
Baby Steps,7.80,TV (25 eps),Apr 2014 - Sep 2014,"144,355 members"
Beastars 2nd Season,7.80,TV (12 eps),Jan 2021 - Mar 2021,"419,243 members"
City Hunter 3,7.80,TV (13 eps),Oct 1989 - Jan 1990,"20,754 members"
Detective Conan Movie 07: Crossroad in the Ancient Capital,7.80,Movie (1 eps),Apr 2003 - Apr 2003,"50,297 members"
InuYasha Movie 3: Tenka Hadou no Ken,7.80,Movie (1 eps),Dec 2003 - Dec 2003,"99,111 members"
Jormungand,7.80,TV (12 eps),Apr 2012 - Jun 2012,"350,708 members"
Wolf's Rain,7.80,TV (26 eps),Jan 2003 - Jul 2003,"320,790 members"
Wu Shan Wu Xing (2020),7.80,ONA (3 eps),Jul 2020 - Aug 2020,"51,696 members"
Yi Nian Yong Heng,7.80,ONA (52 eps),Aug 2020 - Jul 2021,"15,085 members"
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,7.80,Movie (1 eps),Apr 2017 - Apr 2017,"14,119 members"
Taishou Otome Otogibanashi,7.79,TV (12 eps),Oct 2021 - Dec 2021,"132,822 members"
The Last: Naruto the Movie,7.79,Movie (1 eps),Dec 2014 - Dec 2014,"582,572 members"
Tokyo Ghoul,7.79,TV (12 eps),Jul 2014 - Sep 2014,"2,719,229 members"
Kekkai Sensen & Beyond,7.79,TV (12 eps),Oct 2017 - Dec 2017,"422,062 members"
Last Exile,7.79,TV (26 eps),Apr 2003 - Sep 2003,"170,898 members"
Macross F Movie 1: Itsuwari no Utahime,7.79,Movie (1 eps),Nov 2009 - Nov 2009,"30,369 members"
New Initial D Movie: Legend 1 - Kakusei,7.79,Movie (1 eps),Aug 2014 - Aug 2014,"35,982 members"
Seitokai Yakuindomo Movie 2,7.79,Movie (1 eps),Jan 2021 - Jan 2021,"30,433 members"
Shadows House,7.79,TV (13 eps),Apr 2021 - Jul 2021,"232,958 members"
Coquelicot-zaka kara,7.79,Movie (1 eps),Jul 2011 - Jul 2011,"192,477 members"
Detective Conan Movie 09: Strategy Above the Depths,7.79,Movie (1 eps),Apr 2005 - Apr 2005,"48,218 members"
Digimon Adventure: Bokura no War Game!,7.79,Movie (1 eps),Mar 2000 - Mar 2000,"76,420 members"
Emiya-san Chi no Kyou no Gohan,7.79,ONA (13 eps),Jan 2018 - Jan 2019,"126,433 members"
Fate/Grand Carnival,7.79,OVA (4 eps),Dec 2020 - Oct 2021,"51,386 members"
Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,7.79,Movie (1 eps),Jul 2021 - Jul 2021,"69,490 members"
Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,7.79,OVA (7 eps),Jul 1992 - Jan 1998,"25,939 members"
Ginga Tetsudou 999,7.79,TV (113 eps),Sep 1978 - Mar 1981,"36,044 members"
Jungle wa Itsumo Hare nochi Guu Deluxe,7.79,OVA (6 eps),Aug 2002 - Jan 2003,"12,292 members"
Aria the Crepuscolo,7.78,Movie (1 eps),Mar 2021 - Mar 2021,"11,530 members"
Break Blade Movie 3: Kyoujin no Ato,7.78,Movie (1 eps),Sep 2010 - Sep 2010,"58,372 members"
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",7.78,Special (1 eps),Jul 2009 - Jul 2009,"259,260 members"
Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,7.78,OVA (1 eps),Jul 2009 - Jul 2009,"47,796 members"
Crayon Shin-chan,7.78,TV (? eps),Apr 1992 -,"80,516 members"
Date A Live IV,7.78,TV (12 eps),Apr 2022 - Jun 2022,"231,878 members"
Detective Conan Movie 12: Full Score of Fear,7.78,Movie (1 eps),Apr 2008 - Apr 2008,"45,875 members"
Gochuumon wa Usagi desu ka??,7.78,TV (12 eps),Oct 2015 - Dec 2015,"127,458 members"
Gochuumon wa Usagi desu ka?? Dear My Sister,7.78,Movie (1 eps),Nov 2017 - Nov 2017,"40,550 members"
Hoozuki no Reitetsu,7.78,TV (13 eps),Jan 2014 - Apr 2014,"128,160 members"
Innocence,7.78,Movie (1 eps),Mar 2004 - Mar 2004,"157,500 members"
Jin-Rou,7.78,Movie (1 eps),Jun 2000 - Jun 2000,"170,355 members"
Tamayura: Sotsugyou Shashin Part 2 - Hibiki,7.78,Movie (1 eps),Aug 2015 - Aug 2015,"9,995 members"
There She Is!!,7.78,ONA (5 eps),Apr 2003 - Dec 2008,"24,528 members"
Kara no Kyoukai Movie 2: Satsujin Kousatsu (Zen),7.78,Movie (1 eps),Dec 2007 - Dec 2007,"234,930 members"
Kochira Katsushikaku Kameari Kouenmae Hashutsujo,7.78,TV (373 eps),Jun 1996 - Dec 2004,"17,838 members"
Magic Kaito,7.78,Special (12 eps),Apr 2010 - Dec 2012,"70,064 members"
Mind Game,7.78,Movie (1 eps),Aug 2004 - Aug 2004,"82,775 members"
Saiyuuki Gaiden,7.78,OVA (3 eps),Mar 2011 - Nov 2011,"13,407 members"
Shin Kidou Senki Gundam Wing: Endless Waltz Special,7.78,Movie (1 eps),Aug 1998 - Aug 1998,"58,556 members"
Kidou Senshi Gundam,7.77,TV (43 eps),Apr 1979 - Jan 1980,"127,995 members"
Kubikiri Cycle: Aoiro Savant to Zaregotozukai,7.77,OVA (8 eps),Oct 2016 - Sep 2017,"101,978 members"
Kumichou Musume to Sewagakari,7.77,TV (12 eps),Jul 2022 - Sep 2022,"197,461 members"
Love Live! School Idol Project 2nd Season,7.77,TV (13 eps),Apr 2014 - Jun 2014,"252,936 members"
Lupin III vs. Detective Conan,7.77,Special (1 eps),Mar 2009 - Mar 2009,"34,576 members"
Lupin III: Part II,7.77,TV (155 eps),Oct 1977 - Oct 1980,"33,644 members"
Lupin the Third: Mine Fujiko to Iu Onna,7.77,TV (13 eps),Apr 2012 - Jun 2012,"61,566 members"
Saraiya Goyou,7.77,TV (12 eps),Apr 2010 - Jul 2010,"90,384 members"
Sekaiichi Hatsukoi: Valentine-hen,7.77,Movie (1 eps),Mar 2014 - Mar 2014,"40,630 members"
Sonny Boy,7.77,TV (12 eps),Jul 2021 - Oct 2021,"285,843 members"
Akage no Anne,7.77,TV (50 eps),Jan 1979 - Dec 1979,"31,363 members"
Digimon Adventure,7.77,TV (54 eps),Mar 1999 - Mar 2000,"391,438 members"
Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks,7.77,Special (1 eps),Feb 1993 - Feb 1993,"106,640 members"
Ginga Eiyuu Densetsu: Die Neue These - Kaikou,7.77,TV (12 eps),Apr 2018 - Jun 2018,"82,377 members"
Hadashi no Gen,7.77,Movie (1 eps),Jul 1983 - Jul 1983,"51,291 members"
